action_id,verb_id,noun_id,verb_key,noun_key,action_label,train_count,val_count,total_count
0,0,11,add,batter,add batter,54,13,67
1,0,12,add,bean,add bean,55,9,64
2,0,17,add,broccoli,add broccoli,24,4,28
3,0,18,add,butter,add butter,52,7,59
4,0,19,add,cabbage,add cabbage,48,14,62
5,0,20,add,carrot,add carrot,33,8,41
6,0,22,add,cheese,add cheese,37,12,49
7,0,24,add,chili,add chili,14,2,16
8,0,25,add,chip,add chip,21,1,22
9,0,33,add,crumb,add crumb,22,1,23
10,0,34,add,cucumber,add cucumber,31,10,41
11,0,43,add,egg,add egg,55,15,70
12,0,44,add,eggplant,add eggplant,26,0,26
13,0,45,add,filling,add filling,44,5,49
14,0,48,add,flour,add flour,39,5,44
15,0,51,add,fruit,add fruit,60,7,67
16,0,53,add,garlic,add garlic,64,10,74
17,0,54,add,ginger,add ginger,16,1,17
18,0,56,add,grain,add grain,41,3,44
19,0,59,add,herb,add herb,44,13,57
20,0,61,add,ingredient,add ingredient,601,156,757
21,0,62,add,inredient,add inredient,80,7,87
22,0,65,add,item,add item,12,1,13
23,0,67,add,ketchup,add ketchup,73,28,101
24,0,77,add,meat,add meat,198,55,253
25,0,78,add,milk,add milk,68,12,80
26,0,81,add,mushroom,add mushroom,39,5,44
27,0,82,add,noodle,add noodle,35,5,40
28,0,84,add,oil,add oil,489,101,590
29,0,87,add,onion,add onion,128,43,171
30,0,92,add,paste,add paste,43,9,52
31,0,93,add,pepper,add pepper,72,22,94
32,0,98,add,potato,add potato,51,36,87
33,0,100,add,rice,add rice,186,48,234
34,0,102,add,salt,add salt,236,71,307
35,0,105,add,sauce,add sauce,257,41,298
36,0,106,add,seafood,add seafood,34,13,47
37,0,115,add,spice,add spice,567,152,719
38,0,116,add,spinach,add spinach,14,7,21
39,0,122,add,sweetener,add sweetener,53,16,69
40,0,125,add,teabag,add teabag,13,2,15
41,0,128,add,tofu,add tofu,13,2,15
42,0,129,add,tomato,add tomato,63,16,79
43,0,131,add,topping,add topping,116,31,147
44,0,134,add,vegetable,add vegetable,221,51,272
45,0,135,add,water,add water,375,89,464
46,0,136,add,wine,add wine,12,3,15
47,0,139,add,zucchini,add zucchini,12,3,15
48,1,89,adjust,pan,adjust pan,44,11,55
49,2,61,bake,ingredient,bake ingredient,227,99,326
50,3,61,blanch,ingredient,blanch ingredient,11,8,19
51,4,43,boil,egg,boil egg,12,3,15
52,4,61,boil,ingredient,boil ingredient,192,44,236
53,4,82,boil,noodle,boil noodle,81,18,99
54,4,135,boil,water,boil water,181,38,219
55,5,61,braise,ingredient,braise ingredient,11,2,13
56,6,38,check,doneness,check doneness,92,48,140
57,6,40,check,dough,check dough,11,2,13
58,6,58,check,heat,check heat,859,256,1115
59,6,61,check,ingredient,check ingredient,46,11,57
60,6,63,check,instruction,check instruction,73,20,93
61,6,108,check,setting,check setting,22,9,31
62,7,4,clean,appliance,clean appliance,67,15,82
63,7,5,clean,area,clean area,83,20,103
64,7,47,clean,floor,clean floor,40,20,60
65,7,121,clean,surface,clean surface,330,82,412
66,8,112,clear,sink,clear sink,34,7,41
67,9,40,coat,dough,coat dough,203,30,233
68,10,12,cook,bean,cook bean,15,5,20
69,10,16,cook,bread,cook bread,29,16,45
70,10,37,cook,dish,cook dish,90,12,102
71,10,46,cook,flatbread,cook flatbread,530,134,664
72,10,61,cook,ingredient,cook ingredient,77,25,102
73,10,86,cook,omelet,cook omelet,12,0,12
74,10,100,cook,rice,cook rice,62,39,101
75,10,105,cook,sauce,cook sauce,42,10,52
76,10,114,cook,soup,cook soup,175,32,207
77,10,134,cook,vegetable,cook vegetable,75,14,89
78,11,65,cover,item,cover item,131,30,161
79,11,66,cover,jar,cover jar,32,1,33
80,12,43,crack,egg,crack egg,47,11,58
81,13,3,cut,apple,cut apple,18,2,20
82,13,6,cut,asparagus,cut asparagus,14,1,15
83,13,7,cut,avocado,cut avocado,19,2,21
84,13,8,cut,bacon,cut bacon,29,8,37
85,13,10,cut,banana,cut banana,23,1,24
86,13,12,cut,bean,cut bean,40,11,51
87,13,16,cut,bread,cut bread,13,2,15
88,13,17,cut,broccoli,cut broccoli,45,6,51
89,13,19,cut,cabbage,cut cabbage,70,21,91
90,13,20,cut,carrot,cut carrot,94,15,109
91,13,21,cut,celery,cut celery,18,4,22
92,13,22,cut,cheese,cut cheese,31,6,37
93,13,34,cut,cucumber,cut cucumber,83,21,104
94,13,40,cut,dough,cut dough,209,50,259
95,13,43,cut,egg,cut egg,14,0,14
96,13,44,cut,eggplant,cut eggplant,41,9,50
97,13,53,cut,garlic,cut garlic,105,11,116
98,13,54,cut,ginger,cut ginger,24,0,24
99,13,59,cut,herb,cut herb,42,7,49
100,13,61,cut,ingredient,cut ingredient,347,115,462
101,13,72,cut,lettuce,cut lettuce,14,0,14
102,13,76,cut,mango,cut mango,65,2,67
103,13,77,cut,meat,cut meat,89,24,113
104,13,81,cut,mushroom,cut mushroom,52,10,62
105,13,85,cut,okra,cut okra,14,4,18
106,13,87,cut,onion,cut onion,261,97,358
107,13,93,cut,pepper,cut pepper,177,28,205
108,13,98,cut,potato,cut potato,80,20,100
109,13,99,cut,radish,cut radish,37,3,40
110,13,116,cut,spinach,cut spinach,27,6,33
111,13,128,cut,tofu,cut tofu,14,1,15
112,13,129,cut,tomato,cut tomato,82,16,98
113,13,138,cut,yam,cut yam,31,2,33
114,13,139,cut,zucchini,cut zucchini,21,3,24
115,14,36,dispose,dirt,dispose dirt,61,15,76
116,14,65,dispose,item,dispose item,423,119,542
117,14,83,dispose,nylon,dispose nylon,16,14,30
118,14,113,dispose,skin,dispose skin,29,11,40
119,14,135,dispose,water,dispose water,12,1,13
120,15,70,do,laundry,do laundry,18,3,21
121,16,64,dough,it,dough it,124,7,131
122,17,82,drain,noodle,drain noodle,42,14,56
123,18,135,drink,water,drink water,98,27,125
124,19,50,eat,food,eat food,107,11,118
125,20,9,fill,bag,fill bag,86,21,107
126,21,40,flatten,dough,flatten dough,22,0,22
127,21,95,flatten,piece,flatten piece,15,0,15
128,22,46,flip,flatbread,flip flatbread,567,72,639
129,22,61,flip,ingredient,flip ingredient,90,86,176
130,22,77,flip,meat,flip meat,56,5,61
131,22,90,flip,pancake,flip pancake,99,33,132
132,23,137,fold,wrapper,fold wrapper,14,2,16
133,24,39,fry,donut,fry donut,131,5,136
134,24,43,fry,egg,fry egg,111,25,136
135,24,61,fry,ingredient,fry ingredient,11,5,16
136,25,37,garnish,dish,garnish dish,28,16,44
137,26,61,get,ingredient,get ingredient,493,120,613
138,26,96,get,plate,get plate,56,19,75
139,26,130,get,tool,get tool,114,18,132
140,26,135,get,water,get water,38,18,56
141,27,61,grate,ingredient,grate ingredient,98,28,126
142,28,61,grill,ingredient,grill ingredient,43,1,44
143,29,61,grind,ingredient,grind ingredient,54,4,58
144,29,115,grind,spice,grind spice,69,3,72
145,30,32,harvest,crop,harvest crop,81,1,82
146,31,2,interact,animal,interact animal,37,5,42
147,32,40,knead,dough,knead dough,638,115,753
148,33,27,knit,cloth,knit cloth,18,0,18
149,34,11,make,batter,make batter,15,1,16
150,34,28,make,coffee,make coffee,11,1,12
151,34,40,make,dough,make dough,213,71,284
152,34,45,make,filling,make filling,21,15,36
153,34,80,make,mixture,make mixture,81,8,89
154,34,90,make,pancake,make pancake,16,1,17
155,34,103,make,samosa,make samosa,41,0,41
156,34,104,make,sandwich,make sandwich,17,2,19
157,34,105,make,sauce,make sauce,37,26,63
158,34,124,make,tea,make tea,17,2,19
159,35,61,marinate,ingredient,marinate ingredient,37,12,49
160,36,61,mash,ingredient,mash ingredient,51,13,64
161,37,40,measure,dough,measure dough,23,6,29
162,37,48,measure,flour,measure flour,18,5,23
163,37,61,measure,ingredient,measure ingredient,149,33,182
164,38,120,melt,sugar,melt sugar,18,0,18
165,39,43,mix,egg,mix egg,60,3,63
166,39,61,mix,ingredient,mix ingredient,528,105,633
167,40,15,move,bowl,move bowl,18,9,27
168,40,94,move,phone,move phone,21,4,25
169,41,30,open,container,open container,45,10,55
170,41,73,open,lid,open lid,23,6,29
171,41,110,open,shell,open shell,15,0,15
172,42,60,operate,hood,operate hood,48,18,66
173,42,68,operate,kettle,operate kettle,14,2,16
174,42,79,operate,mixer,operate mixer,50,4,54
175,43,37,organize,dish,organize dish,14,5,19
176,43,61,organize,ingredient,organize ingredient,510,105,615
177,43,109,organize,sheet,organize sheet,35,11,46
178,43,130,organize,tool,organize tool,532,160,692
179,44,61,pack,ingredient,pack ingredient,117,13,130
180,45,52,pan,fry,pan fry,29,1,30
181,45,77,pan,meat,pan meat,132,18,150
182,46,20,peel,carrot,peel carrot,41,7,48
183,46,53,peel,garlic,peel garlic,73,7,80
184,46,76,peel,mango,peel mango,39,0,39
185,46,87,peel,onion,peel onion,87,24,111
186,46,98,peel,potato,peel potato,46,27,73
187,46,113,peel,skin,peel skin,138,24,162
188,46,138,peel,yam,peel yam,26,2,28
189,47,0,perform,activity,perform activity,140,18,158
190,48,11,pour,batter,pour batter,64,17,81
191,48,80,pour,mixture,pour mixture,19,1,20
192,49,88,preheat,oven,preheat oven,28,10,38
193,49,89,preheat,pan,preheat pan,239,60,299
194,50,61,prepare,ingredient,prepare ingredient,49,11,60
195,51,40,press,dough,press dough,554,80,634
196,51,42,press,edge,press edge,37,0,37
197,52,40,proof,dough,proof dough,55,5,60
198,53,1,put,amount,put amount,35,4,39
199,53,40,put,dough,put dough,500,118,618
200,53,49,put,foil,put foil,17,5,22
201,53,61,put,ingredient,put ingredient,111,19,130
202,53,65,put,item,put item,40,1,41
203,53,66,put,jar,put jar,20,0,20
204,53,123,put,table,put table,79,22,101
205,53,127,put,timer,put timer,62,15,77
206,53,130,put,tool,put tool,29,9,38
207,53,133,put,tray,put tray,20,5,25
208,54,36,remove,dirt,remove dirt,13,4,17
209,54,40,remove,dough,remove dough,57,4,61
210,54,61,remove,ingredient,remove ingredient,107,29,136
211,54,62,remove,inredient,remove inredient,40,1,41
212,54,89,remove,pan,remove pan,14,5,19
213,54,91,remove,part,remove part,23,0,23
214,54,107,remove,seed,remove seed,59,61,120
215,54,110,remove,shell,remove shell,52,10,62
216,55,61,return,ingredient,return ingredient,121,25,146
217,55,130,return,tool,return tool,49,15,64
218,56,40,roll,dough,roll dough,528,250,778
219,57,16,serve,bread,serve bread,119,25,144
220,57,37,serve,dish,serve dish,198,32,230
221,57,41,serve,drink,serve drink,67,14,81
222,57,50,serve,food,serve food,319,57,376
223,57,77,serve,meat,serve meat,57,19,76
224,57,82,serve,noodle,serve noodle,66,11,77
225,57,101,serve,salad,serve salad,32,13,45
226,58,40,shape,dough,shape dough,256,113,369
227,59,31,shuck,corn,shuck corn,35,0,35
228,60,61,sieve,ingredient,sieve ingredient,47,5,52
229,61,61,simmer,ingredient,simmer ingredient,104,13,117
230,62,61,spread,ingredient,spread ingredient,42,13,55
231,63,48,sprinkle,flour,sprinkle flour,186,35,221
232,64,9,squeeze,bag,squeeze bag,347,39,386
233,64,61,squeeze,ingredient,squeeze ingredient,22,6,28
234,65,61,steam,ingredient,steam ingredient,16,5,21
235,66,16,stir,bread,stir bread,134,37,171
236,66,23,stir,chicken,stir chicken,115,42,157
237,66,37,stir,dish,stir dish,526,144,670
238,66,40,stir,dough,stir dough,49,10,59
239,66,44,stir,eggplant,stir eggplant,22,0,22
240,66,53,stir,garlic,stir garlic,17,2,19
241,66,61,stir,ingredient,stir ingredient,845,212,1057
242,66,80,stir,mixture,stir mixture,11,2,13
243,66,81,stir,mushroom,stir mushroom,17,10,27
244,66,87,stir,onion,stir onion,178,26,204
245,66,93,stir,pepper,stir pepper,16,0,16
246,66,98,stir,potato,stir potato,25,28,53
247,66,105,stir,sauce,stir sauce,207,47,254
248,66,114,stir,soup,stir soup,189,59,248
249,66,118,stir,sprout,stir sprout,33,6,39
250,66,134,stir,vegetable,stir vegetable,256,57,313
251,67,61,store,ingredient,store ingredient,435,119,554
252,68,75,strain,liquid,strain liquid,184,48,232
253,69,61,taste,ingredient,taste ingredient,170,31,201
254,70,16,toast,bread,toast bread,32,11,43
255,71,46,transfer,flatbread,transfer flatbread,205,33,238
256,72,13,turn,blender,turn blender,34,4,38
257,72,74,turn,light,turn light,17,7,24
258,72,119,turn,stovetop,turn stovetop,223,56,279
259,73,61,unpack,ingredient,unpack ingredient,176,38,214
260,74,29,use,computer,use computer,54,21,75
261,74,94,use,phone,use phone,482,105,587
262,75,78,warm,milk,warm milk,46,12,58
263,76,13,wash,blender,wash blender,21,0,21
264,76,14,wash,board,wash board,122,30,152
265,76,15,wash,bowl,wash bowl,79,25,104
266,76,20,wash,carrot,wash carrot,20,4,24
267,76,26,wash,chopstick,wash chopstick,31,7,38
268,76,34,wash,cucumber,wash cucumber,19,6,25
269,76,35,wash,cup,wash cup,29,10,39
270,76,37,wash,dish,wash dish,316,80,396
271,76,57,wash,hand,wash hand,605,147,752
272,76,61,wash,ingredient,wash ingredient,329,74,403
273,76,69,wash,knife,wash knife,111,28,139
274,76,72,wash,lettuce,wash lettuce,42,10,52
275,76,82,wash,noodle,wash noodle,11,6,17
276,76,87,wash,onion,wash onion,45,17,62
277,76,89,wash,pan,wash pan,77,9,86
278,76,93,wash,pepper,wash pepper,44,7,51
279,76,97,wash,pot,wash pot,31,4,35
280,76,98,wash,potato,wash potato,31,8,39
281,76,100,wash,rice,wash rice,35,11,46
282,76,111,wash,sieve,wash sieve,30,5,35
283,76,117,wash,spoon,wash spoon,46,12,58
284,76,129,wash,tomato,wash tomato,24,8,32
285,76,130,wash,tool,wash tool,339,58,397
286,76,132,wash,towel,wash towel,32,2,34
287,77,126,watch,television,watch television,18,3,21
288,78,55,wear,glove,wear glove,11,0,11
289,79,37,wipe,dish,wipe dish,102,22,124
290,79,57,wipe,hand,wipe hand,226,52,278
291,80,40,wrap,dough,wrap dough,26,11,37
292,80,71,wrap,leaf,wrap leaf,86,0,86
